year,0-19,20-29,30-39,40-49,50-64,65+
1965,36018,17433,15756,10883,12004,6181
1970,33887,19749,16579,13218,12956,7331
1975,35184,19874,17675,15592,14745,8869
1980,35801,16894,19986,16438,17288,10653
1985,35025,16030,19799,17378,20345,12472
1990,32578,16922,16837,19730,22617,14928
1995,28600,18706,15966,19645,24376,18277
2000,26007,18247,16924,16746,26961,22041
2005,24178,15696,18567,15867,27699,25761
2010,22932,13916,18284,16901,26540,29484
2015,22000,12623,15813,18613,24178,33868
2020,20720,12340,13913,18168,23992,36192
2025,19426,12010,12703,15680,25955,36771
2030,18249,11316,12425,13804,26170,37160
2035,17235,10715,12101,12611,24737,37817
2040,16287,10136,11415,12340,21534,39206
2045,15559,9433,10812,12022,19404,39192
2050,14787,8808,10230,11343,18349,38406
2055,13950,8467,9520,10747,17716,37042
2060,13128,8108,8893,10171,17137,35403
2065,12374,7695,8550,9466,16182,33810
