year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
1965,1743,1659,1614,1567,1551,1568,1600,1560,1515,1607,1696,1693,1813,1927,2054,2224,2453,2423,2295,1457,1553,1890,1841,1904,1881,1730,1523,1650,1717,1744,1684,1635,1667,1649,1622,1558,1536,1502,1464,1439,1364,1255,1171,1117,1054,1117,921,948,958,978,951,966,930,925,886,866,846,808,805,678,699,663,685,665,632,588,526,523,477,448,421,381,345,324,274,275,258,221,191,151,139,122,106,88,74,59,50,39,30,23,16,12,8,6,5,2,1,1,0,0,0
1970,1878,1863,1818,1823,1425,1768,1658,1616,1566,1551,1573,1599,1562,1520,1604,1687,1689,1793,1891,2004,2171,2386,2387,2272,1443,1546,1892,1851,1913,1887,1742,1526,1653,1715,1736,1683,1627,1657,1634,1606,1538,1494,1458,1428,1422,1343,1236,1157,1099,1043,1098,906,924,932,946,896,909,879,891,849,823,798,750,732,623,636,598,611,586,553,514,445,434,387,354,324,285,249,226,184,178,160,128,105,78,68,56,45,34,27,20,15,11,8,6,3,2,1,1,0,0
1975,1915,2030,2065,2021,1975,1916,1885,1845,1852,1443,1796,1680,1642,1592,1574,1591,1628,1583,1537,1613,1683,1673,1790,1898,2031,2199,2420,2416,2310,1455,1580,1930,1883,1944,1913,1759,1540,1662,1721,1744,1698,1632,1659,1633,1605,1539,1512,1473,1431,1410,1332,1215,1133,1078,1027,1073,878,901,905,918,887,894,857,844,803,779,744,692,672,563,567,528,527,496,458,409,353,334,291,255,225,187,158,135,105,95,80,59,45,31,24,18,13,9,7,4,2,2,1,1,1
1980,1587,1637,1707,1750,1839,1928,2035,2069,2026,1980,1922,1892,1849,1856,1446,1796,1683,1639,1591,1568,1576,1603,1559,1513,1595,1664,1667,1789,1899,2028,2194,2417,2413,2306,1449,1570,1925,1876,1936,1901,1742,1526,1645,1703,1727,1675,1609,1632,1605,1574,1510,1479,1442,1408,1365,1296,1181,1100,1047,993,1036,842,861,861,868,833,833,794,774,731,702,662,607,578,476,470,428,417,381,341,294,244,221,183,153,126,100,78,62,44,37,28,19,13,8,5,4,2,1,1,1
1985,1430,1489,1505,1509,1528,1597,1637,1707,1752,1841,1928,2035,2070,2030,1983,1926,1896,1852,1860,1450,1794,1669,1623,1569,1548,1561,1592,1556,1517,1601,1672,1672,1790,1897,2026,2188,2409,2404,2298,1442,1564,1911,1860,1920,1883,1724,1509,1624,1681,1701,1650,1578,1598,1571,1538,1470,1442,1402,1364,1324,1254,1139,1059,1005,950,985,795,810,803,801,765,759,714,688,639,604,556,500,464,371,355,312,293,255,219,179,140,120,93,72,55,40,28,20,14,9,6,4,2,1,2
1990,1217,1264,1305,1347,1377,1442,1492,1508,1512,1532,1599,1640,1710,1754,1845,1928,2036,2067,2027,1977,1912,1863,1819,1816,1417,1754,1641,1605,1557,1538,1554,1589,1552,1514,1600,1666,1669,1785,1892,2016,2177,2400,2392,2284,1435,1550,1892,1841,1903,1857,1698,1484,1601,1655,1671,1609,1545,1561,1536,1494,1425,1395,1354,1314,1272,1195,1082,1004,947,887,915,731,742,723,715,673,656,609,572,514,474,423,366,326,248,227,190,169,138,111,83,61,48,34,23,16,10,6,4,2,3
1995,1193,1202,1186,1209,1211,1232,1271,1312,1351,1380,1441,1492,1508,1513,1531,1602,1644,1710,1758,1853,1921,2012,2038,1992,1943,1885,1854,1818,1818,1423,1762,1650,1614,1565,1545,1562,1593,1554,1518,1602,1664,1669,1783,1889,2011,2171,2394,2374,2267,1424,1531,1872,1819,1876,1833,1674,1462,1571,1621,1634,1568,1497,1507,1477,1434,1362,1329,1282,1235,1194,1115,1000,923,863,798,813,639,641,610,589,543,516,462,420,363,320,273,225,187,133,114,89,72,54,40,26,18,13,8,5,6
2000,1174,1168,1194,1191,1187,1206,1210,1191,1212,1213,1242,1265,1317,1355,1380,1445,1497,1513,1513,1534,1604,1628,1684,1719,1804,1885,1983,2021,1984,1937,1888,1853,1817,1815,1420,1761,1649,1614,1563,1543,1560,1592,1552,1515,1596,1654,1657,1767,1868,1986,2143,2352,2340,2227,1399,1505,1836,1783,1837,1789,1635,1427,1529,1580,1578,1513,1431,1433,1395,1347,1276,1232,1183,1130,1090,1009,895,819,750,685,683,521,505,471,439,391,358,306,264,216,180,143,110,84,55,42,30,22,15,10,12
2005,1061,1095,1120,1154,1169,1187,1184,1198,1193,1188,1209,1210,1192,1214,1212,1238,1278,1318,1362,1396,1449,1477,1488,1476,1492,1553,1595,1662,1709,1795,1881,1981,2018,1980,1935,1880,1849,1814,1810,1419,1761,1650,1608,1556,1537,1550,1582,1540,1501,1581,1637,1640,1746,1845,1960,2112,2318,2302,2189,1373,1477,1803,1752,1798,1748,1590,1382,1473,1510,1506,1435,1349,1341,1296,1239,1161,1114,1058,996,951,862,750,670,604,537,516,381,356,318,283,240,206,166,132,100,76,55,38,27,16,25
2010,1048,1048,1077,1072,1064,1061,1101,1120,1150,1166,1178,1179,1198,1193,1185,1222,1229,1205,1223,1214,1236,1268,1308,1343,1369,1425,1470,1490,1495,1511,1578,1617,1686,1727,1812,1896,1998,2033,1994,1943,1889,1861,1821,1817,1421,1757,1645,1606,1554,1530,1543,1571,1531,1489,1566,1620,1623,1726,1823,1935,2082,2279,2261,2149,1342,1438,1746,1687,1728,1674,1512,1309,1388,1411,1398,1320,1228,1208,1154,1084,999,941,877,809,750,655,552,477,415,354,319,221,194,161,133,98,78,56,40,26,44
