年,正規,非正規,正規(15-24),非正規(15-24),正規(25-34),非正規(25-34),正規(35-44),非正規(35-44),正規(45-54),非正規(45-54),正規(55-64),非正規(55-64),正規(65-),非正規(65-)
2002,3489,1451,336,142,1049,271,797,261,838,323,406,244,58,95
2003,3444,1504,313,148,1034,283,811,276,802,325,421,261,58,99
2004,3410,1564,303,151,1018,310,815,292,774,316,447,296,50,96
2005,3375,1634,287,149,992,320,832,302,749,322,459,318,52,108
2006,3415,1678,294,145,983,330,855,322,738,320,482,332,61,122
2007,3449,1735,288,130,940,327,894,334,742,328,514,356,69,141
2008,3410,1765,280,133,917,316,905,350,734,322,500,377,70,154
2009,3395,1727,270,115,885,306,930,344,736,324,493,370,77,158
2010,3374,1763,256,112,864,302,942,355,746,330,492,391,74,163
2011,3355,1812,244,117,845,304,962,372,747,333,479,414,74,168
2012,3345,1816,238,108,827,297,971,370,752,344,474,407,81,179
2013,3302,1910,234,112,800,303,958,390,768,364,458,418,81,204
2014,3288,1967,237,106,783,304,948,399,777,376,453,423,86,235
2015,3317,1986,240,103,777,292,942,396,803,388,461,414,93,268
2016,3372,2025,251,102,784,282,935,387,837,401,464,415,99,300
2017,3434,2040,259,97,788,276,933,373,868,414,474,422,109,316
2018,3492,2126,267,95,799,267,921,374,904,427,488,430,111,358
2019,3515,2173,269,95,798,264,899,361,930,439,501,437,114,388
2020,3556,2100,269,89,806,248,883,336,952,433,522,428,120,389
2021,3587,2075,268,87,817,237,871,323,970,435,531,425,124,393
